"SPA_ID",Box number,Computer File,Location,Description,Subjects,Date,Date_qualifier,Photograph,Print; Digital,Originals,Duplicate,Microfilm,Digital,Goldsmiths,Goldsmiths_ID,Notes
SPA_15687,270,,MS#1721,"Serge Prokofiev, wearing a dark military-style jacket, seated outdoors with Vera, Zina, Nina Reberg, [?] their arms interlinked, Sontsovka.",Sergei Sergeevich Prokofiev; Vera Reberg; Zinaida Reberg; Nina Reberg; an unknown person.,1908-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok09,Goldsmiths College London,,
SPA_15688,270,,MS#1721,"Serge Prokofiev, wearing a dark jacket and trousers, seated on a couch next to [?] Reberg. Behind them [?] theatrically brandishes a dagger.",Sergei Sergeevich Prokofiev,1909-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok13,Goldsmiths College London,,
SPA_15689,270,,MS#1721,"Serge Prokofiev, wearing a dark military-style jacket, standing outdoors beside a window with Vera, Zina and Nina Reberg, Sontsovka.",Sergei Sergeevich Prokofiev; Vera Reberg; Zinaida Reberg; Nina Reberg; an unknown person.,1908-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok8,Goldsmiths College London,,
SPA_15690,270,,MS#1721,"Serge Prokofiev, aged 17, wearing a dark military-style jacket, standing outdoors with Vera, Zina and Nina Reberg, Sontsovka.",Sergei Sergeevich Prokofiev; Vera Reberg; Zinaida Reberg; Nina Reberg,1908-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok10,Goldsmiths College London,,
SPA_15691,270,,MS#1721,"Serge Prokofiev, aged 18, dressed in a suit and straw hat, holding a cane, standing outdoors. [?] in the background. Sontsovka.",Sergei Sergeevich Prokofiev,1909-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok01,Goldsmiths College London,,
SPA_15692,270,,MS#1721,"Serge Prokofiev, dressed in a white shirt with a wide belt and cloth cap, leaning on a gate. Sontsovka. ",Sergei Sergeevich Prokofiev,1909-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok04,Goldsmiths College London,,
SPA_15693,270,,MS#1721,"Serge Prokofiev, wearing a dark military-style jacket, standing outdoors with members of the Reberg family, Sontsovka.", Sergei Sergeevich Prokofiev; the Reberg family,1908-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok11,Goldsmiths College London,,
SPA_15694,270,,MS#1721,"Serge Prokofiev, aged 17, standing outdoors with members of the Reberg Family. Sontsovka.",Sergei Sergeevich Prokofiev; the Reberg family,1908-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok05,Goldsmiths College London,,
SPA_15695,270,,MS#1721,"Serge Prokofiev wearing a white shirt, dark trousers and cap, seated in front of Vera, Zina and Nina Reberg. Sontsovka.",Sergei Sergeevich Prokofiev; Vera Reberg; Zinaida Reberg; Nina Reberg,1909-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok15,Goldsmiths College London,,
SPA_15696,270,,MS#1721,"Serge Prokofiev, aged 18, dressed in a check shirt and light-coloured tie, outdoors. Sontsovka.",Sergei Sergeevich Prokofiev,1909-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok02,Goldsmiths College London,,
SPA_15697,270,,MS#1721,"Serge Prokofiev, aged 18, wearing a dark suit, straw hat and holding a cane, seated outdoors with members of the Reberg family. Sontsovka.",Sergei Sergeevich Prokofiev; the Reberg family,1909-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok12,Goldsmiths College London,,
SPA_15698,270,,MS#1721,"Serge Prokofiev, aged 15, wearing a sailor jacket, seated outdoors with Vera, Zina and Nina Reberg and [?], Sontsovka.",Sergei Sergeevich Prokofiev; Vera Reberg; Zinaida Reberg; Nina Reberg; an unknown person.,1906-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok06,Goldsmiths College London,,
SPA_15699,270,,MS#1721,"Serge Prokofiev aged 17, wearing a dark, military-style jacket, seated on a fence with Vera, Zina and Nina Reberg, Sontsovka.",Sergei Sergeevich Prokofiev; Vera Reberg; Zinaida Reberg; Nina Reberg,1908-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok14,Goldsmiths College London,,
SPA_15700,270,,MS#1721,"Serge Prokofiev, aged 17, wearing a dark military-style jacket with a belt, standing outdoors with Vera, Zina and Nina Reberg, Sontsovka.",Sergei Sergeevich Prokofiev; Vera Reberg; Zinaida Reberg; Nina Reberg,1908-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok16,Goldsmiths College London,,
SPA_15701,270,,MS#1721,"Serge Prokofiev, aged 18, seated outdoors with members of the Reberg family. Sontsovka.", Sergei Sergeevich Prokofiev; the Reberg family,1909--07-28,exact,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok07,Goldsmiths College London,,
SPA_15702,270,,MS#1721,"Serge Prokofiev, aged 18, seated outdoors with members of the Reberg family. Sontsovka.", Sergei Sergeevich Prokofiev; the Reberg family,1909--07-28,exact,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok03,Goldsmiths College London,,
SPA_15703,270,,MS#1721,"Serge Prokofiev wearing a dark, military-style jacket seated outdoors beside a fallen tree with Vera, Zina and Nina Reberg, and [?]. Sontsovka.",Sergei Sergeevich Prokofiev; Vera Reberg; Zinaida Reberg; Nina Reberg; an unknown person.,1908-xx-xx,approximate,Photograph,Print,,,,PHOTOS > Contemporary to SP  > photo_album > 1900-1920 > Reberg > prok17,Goldsmiths College London,,
