SPA_ID,Box_number,Computer_file,Shelf_location,Description,Name_of_subjects,Date,Date_qualifier,Document_type,Format,Originals,Number_of_duplicates,Duplicate_location,Microfilm,Digital,Previous_holding_library,Goldsmiths_ID,Notes
SPA_15704,261a,,12w Stacks 15,Photo of Prokofiev with cast of ‘Love for Three Oranges’ Leningrad,Sergei Sergeevich Prokofiev,1927-xx-xx,approximate,Photograph,Print,2,5,Box 272,,,Goldsmiths College London,,Old photo numbering: 067. 2 originals: one zoomed in and the other zoomed out
SPA_15705,261a,,12w Stacks 15,Lifar in ‘Prodigal Son’,Serge Lifar,xxxx-xx-xx,,Photograph,Print,1,1,Box 272,,,Goldsmiths College London,,Old photo numbering: 068
SPA_15706,261a,,12w Stacks 15,Scene from ‘Cinderella’,,xxxx-xx-xx,,Photograph,Print,1,2,Box 272,,,Goldsmiths College London,,Old photo numbering: 070
SPA_15707,261a,,12w Stacks 15,Dubrowska from ‘Prodigal Son’,Felia Dubrowska,xxxx-xx-xx,,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 071
SPA_15708,261a,,12w Stacks 15,Scene from ‘Prodigal Son’,,xxxx-xx-xx,,Photograph,Print,1,2,Box 272,,,Goldsmiths College London,,Old photo numbering: 072
SPA_15709,261a,,12w Stacks 15,Dubrowska & Lifar in ‘Prodigal Son’,Felia Dubrowska; Serge Lifar,xxxx-xx-xx,,Photograph,Print,1,1,Box 272,,,Goldsmiths College London,,Old photo numbering: 073
SPA_15710,261a,,12w Stacks 15,Scene from ‘Le Pas d’Acier’,,xxxx-xx-xx,,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 074
SPA_15711,261a,,12w Stacks 15,Scene from ‘Le Pas d’Acier’,,xxxx-xx-xx,,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 075
SPA_15712,261a,,12w Stacks 15,Cinderella,,xxxx-xx-xx,,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 077
SPA_15713,261a,,12w Stacks 15,Juliet,,xxxx-xx-xx,,Photograph,Print,1,1,Box 272,,,Goldsmiths College London,,Old photo numbering: 078
SPA_15714,261a,,12w Stacks 15,Two characters from ‘Le Pas d’Acier’,,xxxx-xx-xx,,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 079
SPA_15715,261a,,12w Stacks 15,"Malii Theatre, St. Petersburg: representation of the 1st production of ‘War & Peace’ Part 1",,xxxx-xx-xx,,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 168. Source: Noëlle Mann
Not found,,,12w Stacks 15,,,,,Photograph,Print,0,0,,,,Goldsmiths College London,,Old photo numbering: 175
SPA_15716,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' at Theater Chemnitz,,2001-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 176. Source: Theater Chemnitz
SPA_15717,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' at Theater Chemnitz,,2001-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 177. Source: Theater Chemnitz
SPA_15718,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' at Theater Chemnitz,,2001-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 178. Source: Theater Chemnitz
SPA_15719,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' at Theater Chemnitz,,2001-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 179. Source: Theater Chemnitz
SPA_15720,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' at Theater Chemnitz,,2001-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 180. Source: Theater Chemnitz
SPA_15721,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' at Theater Chemnitz,,2001-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 181. Source: Theater Chemnitz
SPA_15722,261a,,12w Stacks 15,Photograph from production of 'Love for Three Oranges' at Theatre de Lyon,,1980-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 182. Source: Theatre de Lyon
SPA_15723,261a,,12w Stacks 15,Photograph from production of 'Love for Three Oranges' at Theatre de Lyon,,1980-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 183. Source: Theatre de Lyon
SPA_15724,261a,,12w Stacks 15,Photograph from production of 'Love for Three Oranges' at Theatre de Lyon,,1980-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 184. Source: Theatre de Lyon
SPA_15725,261a,,12w Stacks 15,Photograph from production of 'Love for Three Oranges' at Theatre de Lyon,,1980-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 185. Source: Theatre de Lyon
SPA_15726,261a,,12w Stacks 15,Lina Prokofiev with two men [unknown] at the production of 'Love for Three Oranges' at Theatre de Lyon,Lina Prokofiev,1980-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 186. Source: Theatre de Lyon
SPA_15727,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' by Mariinsky Theatre: in Don Jerome’s house,Nikolai Gassiev (Don Jerome),1996-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 187. Source: Mariinsky Theater
SPA_15728,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' by Mariinsky Theatre: in Don Jerome’s house,Nikolai Gassiev (Don Jerome); Nadezhda Vassilieva (Duenna),1996-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 188.  Source: Mariinsky Theater
SPA_15729,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' by Mariinsky Theatre: Dance of Masques,,1996-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 189.  Source: Mariinsky Theater
SPA_15730,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' by Mariinsky Theatre: in Mendoza’s house,Yuri Shkliar (Don Carlos); Sergei Aleksashkin (Mendoza); Anna Netrebko (Louisa); Leonid Zakhozhaev (Antonio),1996-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 190.  Source: Mariinsky Theater
SPA_15731,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' by Mariinsky Theatre: Act I – Market Square,,1996-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 191.  Source: Mariinsky Theater
SPA_15732,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' by Mariinsky Theatre: Act I – Market Square,,1996-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 192.  Source: Mariinsky Theater
SPA_15733,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' by Mariinsky Theatre: Act I – Market Square,Nikolai Gassiev (Don Jerome); Gennady Bezzubenkov (Mendoza),1996-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 193.  Source: Mariinsky Theater
SPA_15733,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' by Mariinsky Theatre: The Duenna and Mendoza,Nadezhda Vassilieva (The Duenna); Gennady Bezzubenkov (Mendoza),1996-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 194.  Source: Mariinsky Theater
SPA_15734,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' by Mariinsky Theatre: The Duenna and Mendoza,Nadezhda Vassilieva (The Duenna); Gennady Bezzubenkov (Mendoza),1996-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 195.  Source: Mariinsky Theater
SPA_15735,261a,,12w Stacks 15,Photograph from production of 'Betrothal in a Monastery' by Mariinsky Theatre: in Don Jerome’s house,Nadezhda Vassilieva (The Duenna); Sergei Aleksashkin (Mendoza),1996-xx-xx,approximate,Photograph,Print,1,0,,,,Goldsmiths College London,,Old photo numbering: 196.  Source: Mariinsky Theater